TOWN,wanted,POINT_X,POINT_Y,NOFBI_Stru
Mogotio,0,35.9726257235,-0.00144723237658,
Narok,2,35.8652940779,-1.08566896486,County Headquaters
Narosura,2,35.8543849573,-1.53131433905,
Nakuru,0,36.0621388914,-0.284674613031,County Headquaters
Lanet,0,36.1339047767,-0.305256264801,
Olombokishi,0,36.041442578,-1.00923621193,
Cheberen,2,35.8441525921,0.249122960702,
Kamungei,2,35.8701285241,0.499844380747,
Kipcherere,2,35.8650601852,0.616305494326,
Kapedo,2,36.0956724348,1.1758763979,
Napeitom,2,36.0471450901,1.67968563873,
Lokori,2,36.0114030048,1.95472739361,
Loruk,0,36.0193938815,0.713495847701,
Logomukum,0,36.0678172767,0.438999004731,
Nadapal,0,34.3097654596,4.4286682765,
Lokichokio,0,34.3696349511,4.20889308766,ZTE (OFC Terminals)
Kakuma,0,34.881240347,3.71072088036,ZTE (OFC Terminals)
Loiya,0,34.9872799095,2.52694094398,
Alale,0,35.0285742604,2.2668246966,
Kagododoya,0,35.1180669598,2.73184400467,
Makutano,0,35.3245215732,3.63412107448,
Lorukumu,0,35.259334333,2.88901738893,
Lodwar,0,35.6169838011,3.13530153372,County Headquaters
Lokichar,0,35.670490189,2.3958901715,ZTE (OFC Terminals)
Lokitung,0,35.7773617304,4.2711022278,
Kalakol,0,35.9171748852,3.53922893549,
Loperot,2,35.8726021873,2.35179961108,
Namurupoll,0,35.9765048473,4.57469044103,
Todenyang,0,35.9612668804,4.52750025265,
Magadi,0,36.2810895173,-1.89156654178,
Subukia,0,36.2163069382,0.00131462483099,
Solai,0,36.1424697814,0.0169428906588,
Kabazi,0,36.1624695848,-0.081249767121,
Dundori,0,36.2142373381,-0.254992126799,
Elementeta,0,36.1539895965,-0.490489369895,
Kongoni,0,36.2540115965,-0.821448849801,
Nairagie Enkare,0,36.1509566653,-1.0408446909,
Nyahururu,0,36.3541352532,0.0407336575878,County Headquaters
Ol Joro Orok,0,36.3565547529,-0.0731618870094,
Ol Karau,0,36.3702593029,-0.269858171456,
Gilgil,0,36.3106991551,-0.501778104938,TLK (OFC Terminals)
Naivasha,0,36.4301800494,-0.719300461493,TLK (OFC Terminals)
Tangulbei,0,36.2681773106,0.796185580968,
